A(32, 51),  B(23, 14), C(69, 54),  P(58, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(59, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(60, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(61, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(62, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(63, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(64, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(65, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(66, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(67, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(68, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(69, 3) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(0, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(1, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(2, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(3, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(4, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(5, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(6, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(7, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(8, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(9, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(10, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(11, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(12, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(13, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(14, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(15, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(16, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(17, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(18, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(19, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(20, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(21, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(22, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(23, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(24, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(25, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(26, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(27, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(28, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(29, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(30, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(31, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(32, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(33, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(34, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(35, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(36, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(37, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(38, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(39, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(40, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(41, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(42, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(43, 4) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(44, 4) = Ponto fora do triangulo
